x,y
Shoe store purchase - 72117,Shopping
Pharmacy store purchase - 50026,Pharmacy
Medicine purchase - 77442,Pharmacy
Lunch at sushi bar - 63193,Restaurants
Mobile phone store purchase - 08687,Shopping
Pharmacy store purchase - 93586,Pharmacy
Payroll deposit - 10679,Salary
Movie theater tickets - 34813,Entertainment
Supermarket groceries purchase - 61713,Groceries
Medicine purchase - 68720,Pharmacy
Income from employer - 22983,Salary
Utility bill payment - 86117,Utilities
Health store transaction - 74539,Pharmacy
Petrol station purchase - 47811,Gas
Interest deposit - 03959,Interest Income
Payment to Italian restaurant - 65261,Restaurants
Interest credited - 49825,Interest Income
Petrol station purchase - 98266,Gas
Fuel payment - 75750,Gas
Income from employer - 09883,Salary
Lunch at sushi bar - 89040,Restaurants
Medicine purchase - 14528,Pharmacy
Interest credited - 97673,Interest Income
Income from employer - 84200,Salary
Medicine purchase - 50700,Pharmacy
Starbucks coffee purchase - 02621,Restaurants
Bank wire transfer - 47810,Transfer-Out
Bank interest payment - 44769,Interest Income
Shoe store purchase - 43821,Shopping
Water bill payment - 42294,Utilities
Pharmacy store purchase - 09899,Pharmacy
Concert tickets purchase - 44891,Entertainment
Brunch payment - 27449,Restaurants
Prescription payment - 12955,Pharmacy
Monthly salary deposit - 04950,Salary
Pharmacy store purchase - 80084,Pharmacy
Money sent to friend - 50065,Transfer-Out
Salary payment - 27236,Salary
Organic store purchase - 37049,Groceries
Shoe store purchase - 55130,Shopping
Netflix subscription payment - 24539,Entertainment
Pharmacy store purchase - 65918,Pharmacy
Supermarket groceries purchase - 87122,Groceries
Paycheck deposit - 68529,Salary
Payment to Italian restaurant - 68031,Restaurants
Grocery store payment - 75400,Groceries
Petrol station purchase - 03540,Gas
Monthly salary deposit - 82217,Salary
Interest deposit - 79217,Interest Income
Gas refill payment - 07398,Gas
Netflix subscription payment - 17304,Entertainment
Theme park ticket purchase - 38826,Entertainment
Bank interest payment - 20735,Interest Income
Health store transaction - 91919,Pharmacy
Supermarket groceries purchase - 14736,Groceries
Pharmacy store purchase - 35270,Pharmacy
Medicine purchase - 30633,Pharmacy
Amazon online purchase - 56365,Shopping
Theme park ticket purchase - 63715,Entertainment
Interest deposit - 83276,Interest Income
Income from employer - 46579,Salary
Fuel purchase at gas station - 26609,Gas
Netflix subscription payment - 21024,Entertainment
Mobile phone store purchase - 46164,Shopping
Concert tickets purchase - 60771,Entertainment
Interest credited - 19502,Interest Income
Mobile phone store purchase - 14553,Shopping
Gas utility payment - 88494,Utilities
Gas refill payment - 47827,Gas
Water bill payment - 20223,Utilities
Pharmacy store purchase - 12670,Pharmacy
Bank interest payment - 54249,Interest Income
Transfer to savings account - 87303,Transfer-Out
Savings account interest - 57784,Interest Income
Organic store purchase - 43677,Groceries
Water bill payment - 95956,Utilities
Mobile phone store purchase - 14032,Shopping
Salary payment - 73782,Salary
Mobile phone store purchase - 05936,Shopping
Payment to Italian restaurant - 91011,Restaurants
Grocery store purchase - 94236,Shopping
Electronics store purchase - 91036,Shopping
Savings account interest - 91582,Interest Income
Vegetable market transaction - 87505,Groceries
Monthly salary deposit - 53881,Salary
Income from employer - 74792,Salary
Prescription payment - 48532,Pharmacy
Amazon online purchase - 82463,Shopping
Brunch payment - 81273,Restaurants
Account transfer - 55124,Transfer-Out
Medicine purchase - 66470,Pharmacy
Theme park ticket purchase - 63545,Entertainment
Interest deposit - 37221,Interest Income
Netflix subscription payment - 15712,Entertainment
Internet service payment - 79521,Utilities
Netflix subscription payment - 21052,Entertainment
Fast food purchase - 29671,Restaurants
Fast food purchase - 24392,Restaurants
Electricity bill payment - 84060,Utilities
Petrol station purchase - 90254,Gas
Bank wire transfer - 25448,Transfer-Out
Bank interest payment - 50907,Interest Income
Netflix subscription payment - 61100,Entertainment
Gas utility payment - 40228,Utilities
Electronics store purchase - 97669,Shopping
Interest income received - 56980,Interest Income
Fuel payment - 58944,Gas
Organic store purchase - 95400,Groceries
Bank interest payment - 60268,Interest Income
Transfer to savings account - 96207,Transfer-Out
Gas utility payment - 69156,Utilities
Electricity bill payment - 44311,Utilities
Savings account interest - 29854,Interest Income
Salary payment - 39459,Salary
Prescription payment - 41376,Pharmacy
Lunch at sushi bar - 21284,Restaurants
Fast food purchase - 77304,Restaurants
Movie theater tickets - 41847,Entertainment
Health store transaction - 44441,Pharmacy
Streaming service payment - 58827,Entertainment
Bank interest payment - 95822,Interest Income
